"","cpnd","dates","slope","r2","d_alkane_RTI"
"133","stigmasterol",2020-08-07,0.00416310853214037,0.998995363330958,3346
"134","squalene",2020-08-07,0.00494102586389374,0.965016948679405,2867
"135","sinapinaldehyde",2020-08-07,0.00109928559327518,0.976483076218282,2033
"136","resorcinol",2020-08-07,0.0126616000222122,0.932921061562982,1398
"137","Quinoline",2020-08-07,0.0343716416270774,0.993097457685133,1256
"138","Pyrocatechoic acid",2020-08-07,0.000150867356879333,0.941032705247979,1846
"139","pyrene",2020-08-07,0.000197938531656862,0.958214068841841,2170
"140","pinonic acid",2020-08-07,0.0379221357495215,0.961800976169806,1549
"141","pinic acid 2",2020-08-07,0.0123812626971156,0.894930493997077,1697
"142","pinic acid 1",2020-08-07,0.00153605230697252,0.994006557886774,1692
"143","phthalimide",2020-08-07,0.0256518285519663,0.943762902881334,1592
"144","phthalic acid",2020-08-07,0.00250663957711029,0.984558589997666,1714
"145","perylene",2020-08-07,0.00111509984570132,0.971486536272274,2965
"146","pentadecanone",2020-08-07,0.000574466284112129,0.949169070651091,1727
"147","p-anisic acid (4-methozybenzoic acid)",2020-08-07,0.0426843219049824,0.972105264976493,1544
"148","oleic Acid, TMS",2020-08-07,0.000484432111378729,0.988070985277472,2252
"149","octadecanone",2020-08-07,0.000519900807381163,0.982823293121567,2032
"150","octadecanol",2020-08-07,0.000142579792031502,0.991566772767247,2189
"151","monostearin",2020-08-07,0.00291722171718066,0.976744007936907,2827
"152","monopalmitin",2020-08-07,0.00249484262588085,0.969630832415759,2629
"153","Me-OH-glutatric acid",2020-08-07,0.00870375571517973,0.959136382324307,1623
"154","MBTCA",2020-08-07,0.000297356207958416,0.995981447754619,1776
"155","mannosan",2020-08-07,0.00196446440261578,0.994070094143235,1706
"156","Malic acid, 3TMS derivative",2020-08-07,0.118814422121513,0.981902338753124,1510
"157","linoleic Acid, TMS",2020-08-07,0.00124736239944522,0.985866601601063,2245
"158","levoglucosan",2020-08-07,0.000474965160478907,0.998708824896907,1727
"159","ketopinic acid",2020-08-07,0.0579252467250536,0.934718849663138,1529
"160","isopimaric acid",2020-08-07,0.000395105632516849,0.980161010867505,2383
"161","ionone",2020-08-07,0.18419855950509,0.938508596374807,1447
"162","hydroquinone",2020-08-07,0.0232708412287426,0.861906469609197,1419
"163","homosalate, TMS",2020-08-07,0.000365911040951874,0.979369153282022,2055
"164","Hexadecanol",2020-08-07,0.000418530774784071,0.987812937234,1992
"165","hexadecanamide",2020-08-07,0.00212414227768887,0.987641204719409,2212
"166","gamma dodecalactone",2020-08-07,0.000764916649051891,0.918069402990294,1708
"167","galactosan",2020-08-07,0.0021961253812923,0.974306337505259,1684
"168","Farnesol",2020-08-07,0.00411444852676643,0.9423666975023,1804
"169","FAME18 (Methyl Stearate)",2020-08-07,0.000591299954086607,0.988627161865619,2161
"170","FAME16 (Methyl Palmitate)",2020-08-07,0.000344859488326379,0.970438336649592,1958
"171","erythreitol",2020-08-07,0.0166320439213983,0.990462804127613,1529
"172","eicosanol, TMS",2020-08-07,0.00149883400245284,0.968223877316149,2392
"173","DPPA",2020-08-07,0.0014120980105073,0.966761908794764,1954
"174","dodecyl benzene",2020-08-07,0.000442874313850524,0.987566320959786,1920
"175","DL-B-hydroxymyristic acid",2020-08-07,0.000355353207019751,0.983048487394669,2058
"176","dimethyl Glutaric Acid, TMS",2020-08-07,0.112455128939124,0.91134285419642,1456
"177","dibenz(ah)anthracene",2020-08-07,0.00304288165343284,0.97008154170184,3278
"178","Dehydroabietic acid",2020-08-07,0.000670252864187107,0.920208551249834,2430
"179","DEET",2020-08-07,0.00172977888390107,0.981689384295695,1599
"180","Citronellol, TMS",2020-08-07,0.461576593923137,0.942234515081517,1317
"181","cis-Vaccenic Acid, TMS",2020-08-07,0.000668433148616236,0.975989025564337,2258
"182","chrysene",2020-08-07,0.00032159214379361,0.976928258066321,2527
"183","cholesterol",2020-08-07,0.00179885535947218,0.993356770629764,3209
"184","Caffeic acid",2020-08-07,0.000415781621833409,0.981925917347366,2168
"185","C9 Diacid (azelaic acid)",2020-08-07,0.000258575293498409,0.982397851111133,1822
"186","C9 acid",2020-08-07,0.100677109435607,0.928703198977443,1375
"187","C8 acid",2020-08-07,0.0532867477344587,0.879431339504695,1269
"188","C35",2020-08-07,0.00608482733829221,0.99952759485118,3565
"189","C34",2020-08-07,0.00531094236137513,0.999203558031319,3461
"190","C33",2020-08-07,0.00446650473354586,0.999734341394133,3362
"191","C32",2020-08-07,0.00360567619842161,0.998098568042117,3261
"192","C31",2020-08-07,0.00292507470493863,0.999710730186826,3160
"193","C30",2020-08-07,0.00251539314460368,0.999596096126591,3058
"194","C29",2020-08-07,0.00219937515169517,0.998676298938186,2954
"195","C28 acid",2020-08-07,0.00423662235046619,0.997965426164614,3292
"196","C28",2020-08-07,0.0019795311905363,0.977732209835105,2852
"197","C27",2020-08-07,0.00224811414799825,0.976341698452632,2750
"198","C26 acid",2020-08-07,0.00404345840544067,0.998209801272039,3091
"199","C26",2020-08-07,0.00229758233999929,0.946814966374982,2649
"200","C25",2020-08-07,0.00156792872624063,0.982744393468832,2545
"201","C24 acid",2020-08-07,0.00150729680450781,0.99018796791847,2888
"202","C24",2020-08-07,0.00111090058365865,0.953783014783051,2443
"203","C23",2020-08-07,0.00123890780567199,0.988903717632239,2342
"204","C22 acid",2020-08-07,0.00288082127959325,0.959924645646779,2683
"205","C22",2020-08-07,0.000440963653431629,0.988647167563188,2238
"206","C21",2020-08-07,0.000374236638779571,0.991639186207711,2136
"207","C20",2020-08-07,0.000394161664262316,0.988478640349254,2035
"208","C19",2020-08-07,0.000324033569130728,0.95001604566626,1934
"209","C18 Acid",2020-08-07,0.000249672928192793,0.9931160912574,2280
"210","C18",2020-08-07,0.000479796911872401,0.977396502379417,1831
"211","C17 acid",2020-08-07,0.00105800975413346,0.979138833706895,2177
"212","C17",2020-08-07,0.00722026191304012,0.980912036813982,1729
"213","C16 Acid",2020-08-07,0.000405307393727097,0.951973773245451,2079
"214","C16",2020-08-07,0.22615552922098,0.956819163616844,1627
"215","C14 Diacid",2020-08-07,0.000538973558226348,0.973451305665521,2318
"216","C13 acid",2020-08-07,0.000435750223780206,0.985308402833965,1776
"217","C12 diacid",2020-08-07,0.000517986168336916,0.972286834773159,2120
"218","C10 diacid (sebacic acid)",2020-08-07,0.000424952854833833,0.959673342674674,1923
"219","C10 carboxylic acid",2020-08-07,0.144132683540513,0.96186594915211,1479
"220","beta-sitosterol",2020-08-07,0.00501902780478028,0.998400862536083,3407
"221","Benzothiazole, 2-phenyl-",2020-08-07,0.000452706242622625,0.990958006878288,2024
"222","Benzothiazole",2020-08-07,0.131954650113601,0.977699285443251,1246
"223","benzophenone",2020-08-07,0.00524534137011095,0.974963414210946,1662
"224","arabitol",2020-08-07,0.000510782789446941,0.97841701600337,1744
"225","anthraquinone",2020-08-07,0.000937787074322621,0.984945796806011,2017
"226","abietic acid",2020-08-07,0.0121509953991482,0.988905989397971,2468
"227","a-Amyrin",2020-08-07,0.00128530256262734,0.989770967816304,3480
"228","9H-Florenone",2020-08-07,0.000167641877431766,0.916002333173627,1776
"229","4-nitrocatechol",2020-08-07,0.000688567948609305,0.983383521823449,1770
"230","4-hydroxybenzoic acid",2020-08-07,0.023773243597927,0.941618861201251,1651
"231","4-Bromodiphenylamine",2020-08-07,0.000391715094099205,0.975500445867884,1993
"232","4-Benzoylbenzoic acid",2020-08-07,0.00036645665620384,0.974550706912419,2242
"233","4, 4 dimethoxy-benzophenone",2020-08-07,0.000922793016844498,0.987501754709696,2292
"234","3-5-dimethoxyphenol",2020-08-07,0.0404291991001279,0.994520115652194,1525
"235","2-mercaptobenzothiazole",2020-08-07,0.00824907061079402,0.982126326611153,2000
"236","2-Ketoglutaric acid, tri-TMS",2020-08-07,0.202601089593814,0.988350906340022,1629
"237","2-(methylmercapto)benzothiazole",2020-08-07,0.0137007638454689,0.985706552493237,1637
"238","16-OH C16 Acid, TMS",2020-08-07,0.0025696578876461,0.91392180079372,2430
"239","12-OH C18 Acid, TMS",2020-08-07,0.00145461290298211,0.93027699779683,2471
